x-axis,F1
Hertz,dBV
+195.2000E+00,-84.77968E+00
+195.6000E+00,-84.22364E+00
+196.0000E+00,-83.66761E+00
+196.4000E+00,-83.11158E+00
+196.8000E+00,-82.55555E+00
+197.2000E+00,-81.99952E+00
+197.6000E+00,-81.44348E+00
+198.0000E+00,-80.88745E+00
+198.4000E+00,-80.44028E+00
+198.8000E+00,-81.10255E+00
+199.2000E+00,-81.76483E+00
+199.6000E+00,-82.42710E+00
+200.0000E+00,-83.08937E+00
+200.4000E+00,-83.75164E+00
+200.8000E+00,-84.41391E+00
+201.2000E+00,-85.07619E+00
+201.6000E+00,-85.73846E+00
+202.0000E+00,-86.40073E+00
+202.4000E+00,-86.20980E+00
+202.8000E+00,-85.32814E+00
+203.2000E+00,-84.44648E+00
+203.6000E+00,-83.56481E+00
+204.0000E+00,-82.68315E+00
+204.4000E+00,-81.80148E+00
+204.8000E+00,-80.91982E+00
+205.2000E+00,-80.03816E+00
+205.6000E+00,-79.15649E+00
+206.0000E+00,-78.30406E+00
+206.4000E+00,-79.26457E+00
+206.8000E+00,-80.22508E+00
+207.2000E+00,-81.18560E+00
+207.6000E+00,-82.14611E+00
+208.0000E+00,-83.10662E+00
+208.4000E+00,-84.06713E+00
+208.8000E+00,-85.02764E+00
+209.2000E+00,-85.98816E+00
+209.6000E+00,-86.94867E+00
+210.0000E+00,-87.02839E+00
+210.4000E+00,-86.15056E+00
+210.8000E+00,-85.27274E+00
+211.2000E+00,-84.39491E+00
+211.6000E+00,-83.51709E+00
+212.0000E+00,-82.63927E+00
+212.4000E+00,-81.76144E+00
+212.8000E+00,-80.88362E+00
+213.2000E+00,-80.00579E+00
+213.6000E+00,-79.12797E+00
+214.0000E+00,-80.99461E+00
+214.4000E+00,-83.02904E+00
+214.8000E+00,-85.06347E+00
+215.2000E+00,-87.09790E+00
+215.6000E+00,-89.13233E+00
+216.0000E+00,-91.16677E+00
+216.4000E+00,-93.20120E+00
+216.8000E+00,-95.23563E+00
+217.2000E+00,-97.27006E+00
+217.6000E+00,-97.54247E+00
+218.0000E+00,-95.23310E+00
+218.4000E+00,-92.92372E+00
+218.8000E+00,-90.61435E+00
+219.2000E+00,-88.30497E+00
+219.6000E+00,-85.99559E+00
+220.0000E+00,-83.68622E+00
+220.4000E+00,-81.37684E+00
+220.8000E+00,-79.06747E+00
+221.2000E+00,-76.75809E+00
+221.6000E+00,-77.02098E+00
+222.0000E+00,-77.67199E+00
+222.4000E+00,-78.32300E+00
+222.8000E+00,-78.97400E+00
+223.2000E+00,-79.62501E+00
+223.6000E+00,-80.27602E+00
+224.0000E+00,-80.92703E+00
+224.4000E+00,-81.57804E+00
+224.8000E+00,-82.22904E+00
+225.2000E+00,-82.42097E+00
+225.6000E+00,-81.68983E+00
+226.0000E+00,-80.95870E+00
+226.4000E+00,-80.22756E+00
+226.8000E+00,-79.49643E+00
+227.2000E+00,-78.76529E+00
+227.6000E+00,-78.03415E+00
+228.0000E+00,-77.30302E+00
+228.4000E+00,-76.57188E+00
+228.8000E+00,-75.84075E+00
+229.2000E+00,-76.14219E+00
+229.6000E+00,-76.70923E+00
+230.0000E+00,-77.27627E+00
+230.4000E+00,-77.84331E+00
+230.8000E+00,-78.41035E+00
+231.2000E+00,-78.97739E+00
+231.6000E+00,-79.54443E+00
+232.0000E+00,-80.11147E+00
+232.4000E+00,-80.67851E+00
+232.8000E+00,-80.91644E+00
+233.2000E+00,-80.21116E+00
+233.6000E+00,-79.50588E+00
+234.0000E+00,-78.80060E+00
+234.4000E+00,-78.09532E+00
+234.8000E+00,-77.39004E+00
+235.2000E+00,-76.68476E+00
+235.6000E+00,-75.97948E+00
+236.0000E+00,-75.27420E+00
+236.4000E+00,-74.56892E+00
+236.8000E+00,-74.65594E+00
+237.2000E+00,-75.04813E+00
+237.6000E+00,-75.44032E+00
+238.0000E+00,-75.83251E+00
+238.4000E+00,-76.22470E+00
+238.8000E+00,-76.61690E+00
+239.2000E+00,-77.00909E+00
+239.6000E+00,-77.40128E+00
+240.0000E+00,-77.79347E+00
+240.4000E+00,-78.05776E+00
+240.8000E+00,-77.75927E+00
+241.2000E+00,-77.46077E+00
+241.6000E+00,-77.16227E+00
+242.0000E+00,-76.86378E+00
+242.4000E+00,-76.56528E+00
+242.8000E+00,-76.26679E+00
+243.2000E+00,-75.96829E+00
+243.6000E+00,-75.66979E+00
+244.0000E+00,-75.37130E+00
+244.4000E+00,-75.55669E+00
+244.8000E+00,-76.00444E+00
+245.2000E+00,-76.45218E+00
+245.6000E+00,-76.89992E+00
+246.0000E+00,-77.34767E+00
+246.4000E+00,-77.79541E+00
+246.8000E+00,-78.24316E+00
+247.2000E+00,-78.69090E+00
+247.6000E+00,-79.13864E+00
+248.0000E+00,-79.47521E+00
+248.4000E+00,-78.92763E+00
+248.8000E+00,-78.38005E+00
+249.2000E+00,-77.83246E+00
+249.6000E+00,-77.28488E+00
+250.0000E+00,-76.73729E+00
+250.4000E+00,-76.18971E+00
+250.8000E+00,-75.64213E+00
+251.2000E+00,-75.09454E+00
+251.6000E+00,-74.54696E+00
+252.0000E+00,-74.55236E+00
+252.4000E+00,-74.96657E+00
+252.8000E+00,-75.38077E+00
+253.2000E+00,-75.79498E+00
+253.6000E+00,-76.20919E+00
+254.0000E+00,-76.62340E+00
+254.4000E+00,-77.03761E+00
+254.8000E+00,-77.45181E+00
+255.2000E+00,-77.86602E+00
+255.6000E+00,-78.24801E+00
+256.0000E+00,-77.81895E+00
+256.4000E+00,-77.38990E+00
+256.8000E+00,-76.96084E+00
+257.2000E+00,-76.53179E+00
+257.6000E+00,-76.10273E+00
+258.0000E+00,-75.67367E+00
+258.4000E+00,-75.24462E+00
+258.8000E+00,-74.81556E+00
+259.2000E+00,-74.38651E+00
+259.6000E+00,-74.30560E+00
+260.0000E+00,-74.57082E+00
+260.4000E+00,-74.83604E+00
+260.8000E+00,-75.10125E+00
+261.2000E+00,-75.36647E+00
+261.6000E+00,-75.63168E+00
+262.0000E+00,-75.89690E+00
+262.4000E+00,-76.16212E+00
+262.8000E+00,-76.42733E+00
+263.2000E+00,-76.69255E+00
+263.6000E+00,-76.34133E+00
+264.0000E+00,-75.96757E+00
+264.4000E+00,-75.59381E+00
